1,1,0,50
1,2,51,150
1,3,151,475
1,4,476,800
1,5,801,1600
1,6,1601,2620
2,1,0,40
2,2,41,80
2,3,81,180
2,4,181,280
2,5,281,565
2,6,566,940
3,1,0,50
3,2,51,150
3,3,151,250
3,4,251,350
3,5,351,420
3,6,421,600
4,1,0,2
4,2,3,4
4,3,5,14
4,4,15,24
4,5,25,36
4,6,37,60
5,1,0,160
5,2,161,200
5,3,201,300
5,4,301,400
5,5,401,800
5,6,801,1200
6,1,0,35
6,2,36,75
6,3,76,115
6,4,116,150
6,5,151,250
6,6,251,500
