专题ID,小类ID,监测因子名称,化学名称,单位,最小值,最大值,最小超标值,最大超标值
4,2,六氯苯,C<sub>6</sub>Cl<sub>6</sub>,mg/m<sup>3</sup>,0,5,0,5
4,2,顺丁烯二酸酐,,mg/m<sup>3</sup>,0,5,0,5
4,2,亚甲基双,,mg/m<sup>3</sup>,0,5,0,5
4,2,亚甲基二苯基二异氰酸酯,,mg/m<sup>3</sup>,0,5,0,5
4,2,甲基异氰酸酯,,mg/m<sup>3</sup>,0,5,0,5
4,2,甲拌磷,,mg/m<sup>3</sup>,0,5,0,5
4,2,偏苯三酸酐,,mg/m<sup>3</sup>,0,5,0,5
4,2,烯丙醇,,mg/m<sup>3</sup>,0,5,0,5
4,2,四氯乙烷,C<sub>2</sub>H<sub>2</sub>Cl<sub>4</sub>,mg/m<sup>3</sup>,0,5,0,5
4,2,二氯代乙炔,C<sub>2</sub>Cl<sub>2</sub>,mg/m<sup>3</sup>,0,5,0,5
4,2,甲基肼,CH<sub>6</sub>N<sub>2</sub>,mg/m<sup>3</sup>,0,5,0,5
4,2,二氯代乙炔,C<sub>2</sub>Cl<sub>2</sub>,mg/m<sup>3</sup>,0,5,0,5
4,2,氯乙酰氯,C<sub>2</sub>H<sub>2</sub>Cl<sub>2</sub>O,mg/m<sup>3</sup>,0,5,0,5
4,2,偏二甲基肼,,mg/m<sup>3</sup>,0,5,0,5
